Comments,Classes
Tum pni jesum ke nomaysh krti ho,A
Kar lo phuddi,A
Kr lo ab ,NA
Khud koshi kr lo,A
A pa ta lawromandm kanjare,A
Aap zroor khdkushi karo,A
Khod Kashi karlo hamai kabol hai,A
Karlo mar jayo duniya me,A
Kro achi baat hai,A
Kar lo,NA
Karlo jaldi,NA
Tumhari bra ka nombar batao,A
Phoddi marwany ka itna shouq ta to ab sub k samny marwao,A
CHOPA..GROP,A
Itni bhi to ni Hy pyari ye awam Kuch zyada e tharki bni hue Hy,NA
Cameraman bht hi akheer nasal k thrki hotay hain chun chun kr pyari pyari larkya dhund nikalty hain,NA
Kaash ye khatun mere muh pe paad maar deti,A
Netizens haramkhor found their sister and now searching for her rishta i guess.. begharat qoum,A
Kitno ne Muth mari isko instagram pr dekh k,A
Tharki log,A
"Netizens khotay, tharki",A
Thark pan aur auart pr nazre bas yahi Kam . Reh gaya Islam mein,NA
Ye to paid ha,NA
ab ye lodu boycott karenge wtp,A
Kitna bikhari desh hai salo ke paas khud ka meme material bhi nehi hai,A
Bc lag asa Raha jasay sari dunia hamara qaraza daina ha,A
Lora,A
So now this time the pimp munir brought along the sharif whore to the orange Mans Harem,A
Lanite,A
This Dalla Boy is not and CANNOT be what IK is..! He is chor and always remain a chor,A
the donkey wants to rule the world. What does the donkey know about love? The donkey only knows how to steal other people's wealth and kill people.,A
Bass kar behen k lode hasayega kya...,A
Ye salla nasha karta hai,A
Aukat bhul gaya bhikhari mariyam ka halala karwa ke paise maang raha hai us se ??,A
Jhoota kamina,A
"Tujhe kya pata bhadwe, tu toh tab naha raha tha talaab mein",A
Abey chup kar jakar puri duniya se bheek mangte rehta hai,A
Yeh mc har hafte ek badha raha hain,A
7 nhi 700 gire h pr social media me  sala jhut ka choda log ,A
Kpk mai hamara ek 38km road hai 4 sal hogaye complete hone ka naam nahi le rahi,NA
Maryam Nawaz Sharif Zindabad,NA
"CM sahiba plz girls degree collage kot pindi das 1 Year mein Complete karwa dain,",NA
Saath AA jaao Yaar Bahut ho gayi dushmani itna kuchh hai aapas mein mil baith ke baantne ke liye lad ke kya fayeda aapas mein Mil ke taraakki bhi aur khushi bhi,NA
tere maa bhi jaayengi dating ke liye ya tere bhain,A
Beghairti band ki jaye,A
Be-lagam ghoddi hai ye; lagam dalna zaroori hai,A
Laanat,A
Boycott iss baghairti ka,A
Media naam hi kanjar khane ka hai,A
Maryam Nawas ko nanga karke road par latka dena chahiye. Beghart qaum jago,A
Ae munafiqeen!!!!!!,A
"Kin chakron mein daal rahay audience ko, to hell with this BS",A
In khanzeero ko masla ho raha hai,A
Is se zyada kamina pan kya ho sakta hai?,A
Beghairti ki lazwal dastaan,A
Lakh laanat meri taraf se,A
Media naam hi kanjar khane ka hai,A
Tere maa bhi jaayengi dating ke liye ya tere bhain,A
BHAI FALTU HARKATEIN BAND KAR :),A
Haye tujhe sharam nahin aati :),A
Bhai tere jaise log! saaab bigad dete hain bro,A
Haye badtameez aadmi,A
HAYE ITNA OVERACTING KYU KARTA HEY BRO,NA
Bhai tu pagal hai kia,A
Haye ganday jokes mat maar bro,A
Aray nalayak banda,A
Aray faltu harkatein band kar yaar,A
Aray bakwaas :) baatein mat kar :) yaar,A
MASHALLAH ZYADA SMART MAT BAN YAAR,NA
nalayak banda yaar,A
keaa faltu isnan hey!!!,A
Bhai kya faltu insan hy bhai nice,A
Yaar tere comments irriatte karte hain :P bhai,A
Mashallah bhai tu kuch nai jaanta!! bro ok,NA
Mashallah tu samjhta kya hai apne aap ko bhai,NA
Yaar tuu toh drama queen nikla!!! bro,NA
tum jaise logon ki wajah se internet kharab hai,A
Mashallah kyaa faltu insan haiii bro,A
Haye kya faltu insan hai bro,A
Aray inta overacting kyu :) karta :) haii!!! yaar,A
itna irritating content bhai,A
Yaar badtameez aadmi :P bro bro,A
Yaar koi sense nahi hai vidiyo mein bhai,NA
Aray pagal sa behaviour dikha raha hy,A
BHAI BADTAMEEZ AADMI BRO,A
Mashallah kuch bhi bol deta hai!!! tu yaar,NA
Bhai bakwas editing yaar,A
Yaar ghatiya quality bhai,A
YAAR TU PAGAL HAI KEAA BRO,A
Bhai faltu kontent upload karte :) rehta hai bhai,A
Yaar badtameez aadmi,A
MASHALLAH ITNA OVERACTING KYU KARTA :) HAI BRO,A
Bhai tera kontent! bakwas hai bro,A
Mashallah faltu content!!! upload karte rehta hey yaar,A
Yaar koi sense nhi haii vidio mein :),NA
Mashallah tu :) pagal haii kya bro haha,A
Yaar badtameeeeez aadmi! :),A
Yaar tume :) jaise logon ki wajah se internet kharab hai,A
Aray ye sab :) nafrat failata hai yaar,A
Aisay haram khoron ko sazaye maut honi chahiye,A
Kya is ke liye apna gosht bechna kafi nahi tha jo ye ab doosri aurton ka gosht bhi beche gi? ... khusre paida hue,A
In aurton ko apna gosht bechne ka itna shoq kyu hai? ... modern dalay ban ke paisay kamate hain,A
Randi BC. Sab ko yahi samjh liya kachra kundi ke oulad,A
Is begairti ko ban kiya jaaye,A
Third class aunty ,A
Beghairti ki intha hai,A
"Inki asliat hai bhi yehi kuch bas, haram karna kamana aur dikhana",A
"Inhon ne sahi beghairti machai hui hai, behayai ke sare record tod diye",A
G g.. porn films banana bhi shuru krdena chahiye. Freedom of expression jo hai,A
"Js saw trailer of ""lazawal ishq"". Jiska bhi idea tha ya. Bhai boht hi ghatiya idea tha. Mehrbani karo awam paying industry chor do plZz Tfffff is this cringe. Cringe ultra pro maxx like something ha Literally ""ewwwwwww""",A
India fooooks Pakistan yet again PKMKB EVER & EVER & FOREVER,A
Ye gandu Afridi kal Bhikaristan mein parade karega ,A
Hamesha Muslims ko Hindus pit'te hain  Bluff karte hain 98% illiterate citizens ko,A
"Pakistan ka asli game terrorism hai, ye games sirf zaleel hone k liye khelte hain",A
YEH TO PAKISTAN KAY SAATH 3S**M HO GAYA ,A
Pkmkb forever ,A
Porkies.. Suji hai?,A
No ye chuita will lead parade,A
Surrender porkies ,A
Dumbass hukoomat ,A
"Saare porki accounts chup hain ab, unki gand Brahmos ne sekh di aaj ",A
#PKMKB #PKMKB,A
"Ab koi bkl Pakistani nahi dikh raha, subha se uchal raha tha ",A
Baap to baap hi rahega ,A
Allah ki maa chod di ,A
Pakistanis qaum ke fuker hain ,A
PKMKB Forever ,A
Aur uda paper planes Rauf.. PKMKB ,A
"@RichKettle07 BCCI ka kutta hai, Jay Shah ka a$$ lick karta hai.",A
Terroristan ka minister us metal ka tukda bech kar aata le sakta hai.,A
Randistan got the treatment they deserved . Jhuk ke rehna padega ..,A
Porkistan spread always fake news Gaand me 3rd time daalnekeliye chance Mile we are father always of pakistan ,A
India RAPE Pakistan the third time. Good time to be an Indian.,A
Ek mahine Me 3 baar ch*d Gye #INDvPAK #IndiaVsPakistan,A
#PKMKB jaari rehna chahiye ??,A
Paijaan na karein paijaan. Kabhi win ha aur mostly lunn hai.,A
Ek haari hui qom se kya ummeed ho sakti hai. Even new coming teams and C Teams of many countries beat Pakistan easily,A
Muje to lagta hain pakistan na janam hi harne ke liye huwa hain,A
Chal BKL ab handball ka b pta its 6-0,A
That's why Pakis hate technology ,A
Check your DNA and search for your father,A
#beggarsofasia,A
Fuck you,A
Bakchod insan india is much better in football,A
"Pakistani game me bhi harte h, war me bhi harte h, social media pr bhi inki pilayi hoti h, lekin besharm itne ki har jagah maar khake bhi apne aap ko winner bolenge, ye saale sudhrenge nhi.",A
Richard meri jann utha utha k pajeets k thak gye honay ek kam kar thora rest kr ly ,A
Bikhrio ki ukhad,A
Besharam honge Amrinder Gill paaji ye ehde naal shoot kiti film release krn .get someone else Get Sunil Grover there are many Local actors .who can act way better then this idot .,A
Haan,NA
Ye banda bell boy ban’ne ke laayak bhi nahi hai. Pakistan wale kabhi apni zaleel harkatein band nahi karte.,A
Hahaha,NA
Mazay ki baat ye hai ke Pakistan ki latest film ka naam Love Guru hai.,NA
Punjabi film industry ne aise logon ko filmon me kaam kyu diya? Ye akad dikhane ke bajaye sadak pe atta mangta hota!,A
Kya seekha?,NA
"Ye log to pagal hain, apni duniya me rehte hain.",A
Jo desh ke khilaf bolte hain unko reject karna chahiye.,NA
Turkish khoon aur surname Thakur ,A
Amrinder Gill bhi iske saath mil gaya. Ye namak haram no. 1 hai.,A
PKMKB hamesha ke liye,A
"Amrinder Gill nu kon samjhave, fddi da ohna da muh ch lai k baitha ??",A
Ye filmmakers ke munh par thappad hona chahiye jo kehte hain ke artist politics se upar hote hain. Ye log apne mulk se upar kuch nahi rakhte.,A
"Oye saaleyo sharam karo laantiyon, banda tuhadi izzat uda reha, je ikko piyo de hon taan laanat naal kaam naa kareyo.",A
Itne talented Indian actors hain par ye kutte abhi bhi Pakistan walon ke loyal hain.,A
Lakh di laanat tuhade te Amrinder Gill te Gippy Grewal.,A
"Iske purkhe Hindu thay, surname Thakur dekho. Ye khud bhi Hindu hai.",NA
Sidhu da ek music video iske pure career se behtar hai.,NA
Ye banda frustrated lagta hai. Punjab me bohot talent hai.,NA
Ye jhoot nahi bol raha. Punjabi film aur Bollywood dono Pakistan walon ke peeche pade hain. Ye porki lovers hamesha se aise hi hain.,A
Eh oh bhaichare waale logan de muh te thappad hai.,NA
"Pakistan ke paas 20 theatres hain, unki film industry mar chuki hai. Punjab me kaafi talent hai.",NA
Agar inko dobara hire kiya to ye usi baat ka saboot hoga ke humare Punjabi me talent nahi.,NA
"Dekho ye dukkar, Pakistan me kuch nahi tha iske paas, double meaning comedy karta tha, India ne naam aur paisa diya aur ab asli rang dikhaya — ye saare jihadi aur thug hain.",A
"Ye Hindu se nafrat karta hai, phir bhi Punjabi usko film me role dete hain.",NA
"Fudi dai Iftikar nu kam sara Amrinder Gill nai dita c, dono madarchod sale dalley, na Amrinder kuch bolya ede khilaf.",A
Khalistaniyo ki insult honi chahiye ??,A
"Saari zindagi aurta de chittra ch mooh paa paa theatre karda reha, ohvi kanjara wala role karke, hunn saanu boycott karu.",A
Thakur?? Sala convert.,A
Fir bsdk Diljit Dosanjh aur Shubh jaise haraamkhor Pakistan ke laand chaat rahe hain.,A
"Aur karo pak prem, bulao in chutiyo ko, chalao anti India agenda, dekho wo tumhare muh par thuk rahe.",A
He is disgusting inbreed harami in his interview calling for hindu genocide.,A
"Bulao aur bulao apne Pakistani bhaiyo behno ko aur khatirdari karo, this is what they give you on your face you mfs.",A
Bhikharistani dialogue comedy background music denge aukat dekho bkl bhikhariyo ke.,A
Amrimder gill hi bund chatda firda mulleyan di.,A
Ye sale dogle hain!,A
Third class ghatia type ki double meaning wali comedy kartey hai yeh heeramandi kay tabalchi.,A
Saale Bhikhmange.,A
Fir bsdk Diljit Dosanjh aur shubh jaise haraamkhor Pakistan ke laand chaat rahe hain.,A
Saale bhikhaari.,A
"EH UNHA LAYI JO KEHANDEY C PAKI OR MULLAHA SAADEY BHAI NEY, KANJAR DIYO NA MULLAHA KADI KISEY DA SAKKA NAHI HOYA.",A
Tu bhi pakistan jassos lagta hai.,A
itna talent hai porkis mein yeh bkl humari punjabi films karta kyun hein.,A
Bastard.,A
Are ye chutiye konsi film hai tha ???,A
He was a famous pimp and stage actor in Pakistan Punjab before. Most of his co-actors in Pakistan have died of STD’s because they were including him part of prostitution racket.,A
Mat aa bhosdike. Kaam dhund Pakistan mai.,A
Bc cinema hall to hai ni paxistaan me raandaaa.,A
but tumhare paas paise nahi hai na kuch banane ke.,NA
"EH UNHA LAYI JO KEHANDEY C PAKI OR MULLAHA SAADEY BHAI NEY, KANJAR DIYO NA MULLAHA KADI KISEY DA SAKKA NAHI HOYA",A
Tu bhi pakistan jassos lagta hai,A
itna talent hai porkis mein yeh bkl humari punjabi films karta kyun hein..porkis are snakes kitna bhi khila do aant mein dasega zaroor,A
Bastard,A
Are ye chutiye konsi film hai tha ???,A
He was a famous pimp and stage actor in Pakistan Punjab before. Most of his co-actors in Pakistan have died of STD’s because they were including him part of prostitution racket.,A
Mat aa bhosdike. Kaam dhund Pakistan mai,A
Bc cinema hall to hai ni paxistaan me raandaaa,A
Chal sala gandu kutta poorstani masalli ??,A
Enn haram den pille...eenh banda sare zindagi theatre karda rehya..inhu prominence punjabi filman which aanke hin mili he...nai ten renh apne porkistan which..suar din aulad hega,A
Ye Saale apne yaha to bana nahi paate.,A
Pakistani bastard and still some people are working with these scumbags,A
Inna kuch diya hai porkistan ne bas atta aur pani nahi diya.. chusega mera? 5kg atta dunga,A
Banda kuttaaa paal lave But ehio jeha veham na paaale. Muh v tilii varga te gala v fudu vargi karda,A
Real id se aa porki,A
Batao is mf ko ke ye Thakur apne naam se hatae,A
"Converted dogs sirf bhonk sakte hain, Islam mein Thakur naam kaha hota hai",A
"Thakur? BKL thakur kaise ban gaya? Iski abbu ki ammi to turkon ke aage jhuk gayi thi, to ye thakur kaise hua, dale porki",A
Iski poori qaum Gaza ke suwar jihadiyon ki tarah jahannum jayegi,A
Teri qaum cheetiyon wali hai jise Hindu apne pair se kuchal kar teri aur sab Pakistaniyon ki chatni nikal denge,A
"Ye converted dogs bc khatarnak hote hain, tu idiot converted dog apna last name dekh",A
"Ye dukkars hain, inko waisa hi treat karo jaisa ye deserve karte hain",A
Iftikar aur Thakur?? Dar se iski ammi ne salwar ka nara khol dia aur baate dekho iski,A
Arjun Chudega is baar,A
Ye koi randi khana hain endians are super rich,A
Coward poopjeets.,A
"Tum sab nashay ke aashiq aur pagal ho, tumhara mulk aakhirkar nuke ho jayega",A
"Lol ye bhudda 37 saal fauj mein tha phir bhi yudh nahi kar saka, main un Indians par afsos karta hoon jo in pagal buddon ko admire karte hain",A
Main un logon par afsos karta hoon jo is faltu begareet or nikmay shakhs ki tarif karte hain ,A
Koi ghalat sulook ya hamla support karna munasib nahi chutiay,A
Dhoom machane aur taunts se masail hal nahi honge beygarit log,A
Yeh tanqeed hai ke log jazbati tor par react kar rahe hain bc,A
"Aisi dhamkiyan na serious leni chahiye mc bdlk, aman zaroori hai ",A
Logon ki ghalat soch pe tanqeed ki ja sakti hai lekin tashaddud support na kiya jaye faltu log,A
Lanat asa logon pr Jo ksi ke kamyabi se jlte ha,A
Is ko kamyabi nhii ghlazat kehtay hai madam jo aj tak villogging me ho rhi hai ,A
Our ye apka kiya phupho ka beta hai ?,A
Who cares bhaar mein jaaye is beghairat ka pura khandan,A
"Haram ki latttt asani se ni jati, wapis ajaega",A
Ye srf views tak hota phir ajate hain tatti content lekr,A
Logon ko bhar me jany ka kheal late q ata? Time se decide kr k nikal jaya krn na,A
"He will come back aur bolega ""awam ki purzor farmaish pay me phr say lougo ki mout, Muharram aur maa Ko content Kay tor pay paish karny agya Hun",A
Jahilo ky pass pasia ajay tu esa hi hota hein bolnay ki tameez nai Ulta seedha bolta hein,A
ye badmashi he tm logo ki trf se jo sb k liye rehmat ban kr aye unhi k name pr tm log dehshat phelaty ho... tm logo pr akhrat m azab bht hi zyada bura any wala he... yeha mamla Allah k Mahboob saww ka he or wo tm logo ka qeema bana dega,A
Jitna gund daal dia hai ...ab quite shuite sy Kuch nhi hona,A
Lanat hai is per,A
Bgerat h ye,A
Shukr h is kanjar Ka AJ tk koi vlog nhi Dekha. Awam SE or social media reports SE e pta chla is bagaiurat Ka.. never liked him,A
Chlo acha hy aik ny beghairti chor di baqi bhi chor den gy,A
na ghairat hai or un main koe sharam haya hai ... Wahiyaat kahen Kay,A
Unko paisa hi beizzat ho k mil raha hai,A
Stupid aurat apka kia beghara hai,A
poora insaan hee fake hai ,A
He's a fake human too ,A
Rajab butt is fake human ,A
Wo behnakaluda hai ,A
Drameybaaz ,A
ghanta century ,A
Arjun Chudega is baar ,A
Ye koi randi khana hain endians are super rich ,A
Coward poopjeets. ,A
"Tum sab nashay ke aashiq aur pagal ho, tumhara mulk aakhirkar nuke ho jayega ",A
"Lol ye bhudda 37 saal fauj mein tha phir bhi yudh nahi kar saka, main un Indians par afsos karta hoon jo in pagal buddon ko admire karte hain ",A
Main un logon par afsos karta hoon jo is faltu begareet or nikmay shakhs ki tarif karte hain ,A
Koi ghalat sulook ya hamla support karna munasib nahi chutiay ,A
Dhoom machane aur taunts se masail hal nahi honge beygarit log ,A
Yeh tanqeed hai ke log jazbati tor par react kar rahe hain bc ,A
"Aisi dhamkiyan na serious leni chahiye mc bdlk, aman zaroori hai ",A
Logon ki ghalat soch pe tanqeed ki ja sakti hai lekin tashaddud support na kiya jaye faltu log ,A
Lanat asa logon pr Jo ksi ke kamyabi se jlte ha ,A
Is ko kamyabi nhii ghlazat kehtay hai madam jo aj tak villogging me ho rhi hai ,A
Our ye apka kiya phupho ka beta hai ? ,A
Who cares bhaar mein jaaye is beghairat ka pura khandan ,A
"Haram ki latttt asani se ni jati, wapis ajaega ",A
Ye srf views tak hota phir ajate hain tatti content lekr ,A
Logon ko bhar me jany ka kheal late q ata? Time se decide kr k nikal jaya krn na ,A
"He will come back aur bolega ""awam ki purzor farmaish pay me phr say lougo ki mout, Muharram aur maa Ko content Kay tor pay paish karny agya Hun ",A
Jahilo ky pass pasia ajay tu esa hi hota hein bolnay ki tameez nai Ulta seedha bolta hein ,A
Ye badmashi he tm logo ki trf se Pyare Nabi saww jo sb k liye rehmat ban kr aye unhi k name pr tm log dehshat phelaty ho... tm logo pr akhrat m azab bht hi zyada bura any wala he... yeha mamla Allah k Mahboob saww ka he or wo tm logo ka qeema bana dega A,A
Jitna gund daal dia hai ...ab quite shuite sy Kuch nhi hona ,A
Lanat hai is per ,A
Bgerat h ye ,A
Shukr h is kanjar Ka AJ tk koi vlog nhi Dekha. Awam SE or social media reports SE e pta chla is bagaiurat Ka.. never liked him ,A
Chlo acha hy aik ny beghairti chor di baqi bhi chor den gy ,A
Na ghairat hai or un main koe sharam haya hai ... Wahiyaat kahen Kay ,A
Unko paisa hi beizzat ho k mil raha hai ,A
Stupid aurat apka kia beghara hai ,A
Poora insaan hee fake hai ,A
He's a fake human too ,A
Rajab butt is fake human ,A
Wo behnakaluda hai ,A
Drameybaaz ,A
Ghanta century ,A
Arjun Chudega wapis aayega ,A
Ye endians sirf paisa aur shor me busy hain ,A
Pagal log aur nashay ke aashiq ,A
Beygarit log sirf shor machate hain ,A
Ye bhudda phir bhi fail ,A
Un Indians ko admire karna bhi galt hai chawal,A
Faltu begareet shakhs ki tarif karna ,A
Kisi ko hamla support karna galat hai ,A
Taunts aur dhoom sirf masail barhate hain ,A
Log jazbati tor par react karte hain ,A
Aman ko serious lena zaroori hai ,A
Faltu logon ki soch par tanqeed ho sakti hai ,A
Jo kisi ki kamyabi se jlte hain lanat hai ,A
Villogging me ho rhi hai ye ghlazat ,A
Phupho ka beta ,A
Beghairat ka pura khandan ,A
Haram ki latttt wapis ajayegi ,A
Tatti content lekr aate hain ,A
Time se niklna chahiye tha ,A
Awam ki purzor farmaish pay content ,A
Pasia aaya to bolne ki tameez nahi ,A
Dehshat phelana galat hai ,A
